rank,title,singer
1,나는 아픈 건 딱 질색이니까,(여자)아이들
2,밤양갱,비비 (BIBI)
3,첫 만남은 계획대로 되지 않아,TWS (투어스)
4,EASY,LE SSERAFIM (르세라핌)
5,Love wins all,아이유
6,To. X,태연 (TAEYEON)
7,비의 랩소디,임재현
8,Smart,LE SSERAFIM (르세라핌)
9,천상연,이창섭
10,홀씨,아이유
11,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
12,Love 119,RIIZE
13,사랑은 늘 도망가,임영웅
14,Perfect Night,LE SSERAFIM (르세라핌)
15,에피소드,이무진
16,Drama,aespa
17,모래 알갱이,임영웅
18,WAY 4 LUV,PLAVE
19,헤어지자 말해요,박재정
20,예뻤어,DAY6 (데이식스)
21,우리들의 블루스,임영웅
22,한 페이지가 될 수 있게,DAY6 (데이식스)
23,Do or Die,임영웅
24,인사,범진
25,다시 만날 수 있을까,임영웅
26,Seven (feat. Latto) - Clean Ver.,정국
27,무지개,임영웅
28,이제 나만 믿어요,임영웅
29,London Boy,임영웅
30,I AM,IVE (아이브)
31,Polaroid,임영웅
32,Watch Me Woo!,PLAVE
33,아버지,임영웅
34,MANIAC,VIVIZ (비비지)
35,우리 영화,PLAVE
36,Super Lady,(여자)아이들
37,From,PLAVE
38,인생찬가,임영웅
39,꿈,태연 (TAEYEON)
40,Shopper,아이유
41,버추얼 아이돌,PLAVE
42,A bientot,임영웅
43,Wife,(여자)아이들
44,너의 모든 순간,성시경
45,사랑인가 봐,멜로망스
46,Love Lee,AKMU (악뮤)
47,Get A Guitar,RIIZE
48,Welcome to the Show,DAY6 (데이식스)
49,연애편지,임영웅
50,Hype Boy,NewJeans
